initCGM,output_cgm,state_Q2,state_S1,state_S2,state_I,state_X1,state_X2,state_X3,state_Ug,state_Ug2
135,0.20229865610599518,-0.5018940567970276,-0.2672063410282135,-0.6419287919998169,-0.6149324774742126,-0.633518636226654,-0.6092727184295654,-0.5626548528671265,-0.07892872393131256,1.3624999523162842
136,0.21422526240348816,-0.493985652923584,-0.26719382405281067,-0.6441570520401001,-0.6174996495246887,-0.6351745128631592,-0.6119750738143921,-0.565373420715332,-0.07905029505491257,1.3624999523162842
137,0.22615186870098114,-0.486293226480484,-0.26721078157424927,-0.6464401483535767,-0.620130181312561,-0.636972963809967,-0.6147502064704895,-0.568127453327179,-0.07916311919689178,1.3624999523162842
138,0.23807847499847412,-0.47846662998199463,-0.2672063708305359,-0.6486356854438782,-0.6226606369018555,-0.6386834383010864,-0.6174207329750061,-0.5706849694252014,-0.07927202433347702,1.3624999523162842
139,0.2500050961971283,-0.4706028401851654,-0.2672092318534851,-0.6509639620780945,-0.6253440976142883,-0.6403294801712036,-0.6202495694160461,-0.5734586119651794,-0.07937900722026825,1.3624999523162842
140,0.2619316875934601,-0.4628749489784241,-0.26721635460853577,-0.6534358263015747,-0.6281925439834595,-0.6420460343360901,-0.6232499480247498,-0.576479971408844,-0.07948926836252213,1.3624999523162842
141,0.27385830879211426,-0.4555405378341675,-0.2672015428543091,-0.6555694937705994,-0.6306485533714294,-0.643998384475708,-0.6258460879325867,-0.5789000988006592,-0.0796143189072609,1.3624999523162842
142,0.28578492999076843,-0.44859275221824646,-0.267210990190506,-0.6579579710960388,-0.633398711681366,-0.6462421417236328,-0.6287484765052795,-0.5816899538040161,-0.07974979281425476,1.3624999523162842
143,0.2977115213871002,-0.44155794382095337,-0.2672099471092224,-0.6600947976112366,-0.6358602643013,-0.6484699845314026,-0.6313518285751343,-0.5839966535568237,-0.07988154143095016,1.3624999523162842
144,0.3096381425857544,-0.4345293343067169,-0.2672159671783447,-0.6620690822601318,-0.6381325125694275,-0.6500959396362305,-0.6337701678276062,-0.5858917236328125,-0.08002272993326187,1.3624999523162842
145,0.3215647339820862,-0.42710158228874207,-0.2671954929828644,-0.6639891862869263,-0.6403411626815796,-0.6512764096260071,-0.6361128091812134,-0.5878799557685852,-0.08019934594631195,1.3624999523162842
